car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
GM6A,BLK 13A GHIM MOH RD,1.309492534,103.7887229,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,5,2.15,N,0.6,0.6
GM6B,BLK 16A GHIM MOH ROAD,1.309611071,103.7876523,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
GSM,BLK 2 GEYLANG SERAI,1.317206714,103.8983401,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N,0.6,0.6
GSML,BLK 2 GEYLANG SERAI,1.317031228,103.8984885,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,2.15,N,0.6,0.6
HCM,BLK 104A HENDERSON CRESCENT,1.289046048,103.8215599,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.1,N,0.6,0.6
HDBH,BLK 480 480 LORONG 6 TOA PAYOH,1.332204473,103.8483192,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.1,Y,0.6,0.6
HE1,BLK 102/103/104 HENDERSON CRESCENT,1.289222143,103.8223554,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,0.6,0.6
HE12,BLK 78/81 REDHILL LANE,1.288210023,103.8186506,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
HE14,BLK 115 BUKIT MERAH VIEW,1.28571439,103.8222525,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HE17,BLK 93/96 HENDERSON RD,1.286423061,103.8203888,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HE19,ALEXANDRA RD,1.290540619,103.8209851,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,0.6,0.6
HE22,BLK 105 HENDERSON RD,1.290020773,103.8228481,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.2,N,0.6,0.6
HE24,BLK 116 BUKIT MERAH VIEW,1.284668093,103.8209853,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HE3,BLK 116/117 BUKIT MERAH VIEW,1.284719003,103.8217117,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HE4,BLK 121/122 & 127 BUKIT MERAH VIEW,1.283470913,103.8227829,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HE9,BLK 118/119 BUKIT MERAH VIEW,1.283707366,103.8211938,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
HG1,"BLK 1,2,6,7 HOUGANG AVE 3",1.362165537,103.8941797,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,0.6,0.6
